Root Chord (in),Tip Chord (in),Height/Span (in),Sweep Length (in),Angle (deg),Base stability (%),Max stability (%),Time of max stability,CNAlpha @ Max Mach,Min damping ratio,Max damping ratio,Altitude (ft)
6.0,6.0,3.0,7.425260560248889,68,12.193806421088778,20.101397634455537,63.33604,12.036719547515665,0.018,0.253,123356.0
6.0,6.0,3.1,7.672769245590519,68,12.839054585286638,20.549682657318407,62.96611,12.416511030870875,0.019,0.253,122386.3
6.0,6.5,3.0,7.425260560248889,68,12.231768579370161,19.9932852980321,63.16607,12.241344030870875,0.018,0.254,122872.1
6.0,6.5,3.1,7.672769245590519,68,12.87848040452458,20.56795714617402,62.79613,12.736973555296776,0.006,0.255,121897.5
6.5,6.0,3.0,7.425260560248889,68,12.091038081328842,20.49114468752358,62.76614,12.220218555296777,0.019,0.255,121826.3
6.5,6.0,3.1,7.672769245590519,68,12.731148651973998,21.043122731348035,62.4062,12.672480107045164,0.003,0.256,120877.4
6.5,6.5,3.0,7.425260560248889,68,12.113782396343424,20.321638030859155,62.60617,12.362523555296775,0.005,0.257,121365.3
6.5,6.5,3.1,7.672769245590519,68,12.755273115125867,20.91429301001337,62.23623,12.902016660244724,0.012,0.258,120395.3
